district,distname,campus,campname,type,alt_ed,charter,county,total,mobility,low_inc,lep,sped,rating,yrs_ir
'057816,A W BROWN LEADERSHIP ACADEMY,'057816101,AW BROWN-F L A INT CAMPUS,E,N,Y,DALLAS,984,11.6,84.5,1.5,6.4,Met Standard,
'057816,A W BROWN LEADERSHIP ACADEMY,'057816102,A W BROWN - F L A EARLY CHILDHOOD,E,N,Y,DALLAS,1160,10.9,92.2,0.7,2.3,Met Standard,
'057819,JEAN MASSIEU ACADEMY,'057819001,JEAN MASSIEU ACADEMY,B,N,Y,DALLAS,196,14.3,97.4,56.6,8.2,Met Standard,
'057827,NOVA ACADEMY (SOUTHEAST),'057827101,NOVA ACADEMY CEDAR HILL,E,N,Y,DALLAS,62,13.1,100,3.2,1.6,Met Standard,
'057827,NOVA ACADEMY (SOUTHEAST),'057827102,NOVA ACADEMY PRICHARD,E,N,Y,DALLAS,481,8.8,79.8,34.9,6,Met Standard,
'057828,WINFREE ACADEMY CHARTER SCHOOLS,'057828001,WINFREE ACADEMY CHARTER SCHOOL (IR,S,Y,Y,DALLAS,199,81.7,62.3,20.1,10.1,Met Alternative Standard,
'057828,WINFREE ACADEMY CHARTER SCHOOLS,'057828002,WINFREE ACADEMY CHARTER SCHOOL (LE,S,Y,Y,DALLAS,139,77.9,58.3,12.2,14.4,Improvement Required,1
'057828,WINFREE ACADEMY CHARTER SCHOOLS,'057828003,WINFREE ACADEMY CHARTER SCHOOL (RI,S,Y,Y,DALLAS,240,77.2,39.2,7.5,8.3,Met Alternative Standard,
'057828,WINFREE ACADEMY CHARTER SCHOOLS,'057828004,WINFREE ACADEMY CHARTER SCHOOL - G,S,Y,Y,DALLAS,329,76,63.2,13.7,10.9,Met Alternative Standard,
'057828,WINFREE ACADEMY CHARTER SCHOOLS,'057828005,WINFREE ACADEMY NORTH RICHLAND HIL,S,Y,Y,DALLAS,260,79.4,60.4,4.2,7.7,Met Alternative Standard,
'057828,WINFREE ACADEMY CHARTER SCHOOLS,'057828006,WINFREE ACADEMY CHARTER SCHOOL DAL,S,Y,Y,DALLAS,128,77.3,72.7,10.9,10.9,Met Alternative Standard,
'057829,A+ ACADEMY,'057829001,A+ ACADEMY EL,E,N,Y,DALLAS,794,6.3,85.3,63,6,Improvement Required,1
'057829,A+ ACADEMY,'057829002,A+ SECONDARY SCHOOL,S,N,Y,DALLAS,554,,80.5,26.4,11.2,Met Standard,
'057830,INSPIRED VISION ACADEMY,'057830001,INSPIRED VISION ACADEMY EL,E,N,Y,DALLAS,742,3.7,93.5,48.1,4.7,Met Standard,
'057830,INSPIRED VISION ACADEMY,'057830002,INSPIRED VISION ACADEMY MIDDLE,S,N,Y,DALLAS,580,8.5,96.2,32.6,12.2,Met Standard,
'057831,GATEWAY CHARTER ACADEMY,'057831001,GATEWAY CHARTER ACADEMY -EL,E,N,Y,DALLAS,457,23.1,100,0.2,1.8,Met Standard,
